"ID","CREATED","MODIFIED","AREA_NAME","AREA_DESCRIPTION","DISPLAY_SEQUENCE","PARENT_ID"
45094612808877964163464134194291729594,12-OCT-15 05.46.18.032584000 PM,12-OCT-15 05.46.18.032593000 PM,"Data Manipulation","",5,1
62122448011653412474874015481137348051,23-MAR-16 06.17.53.186283000 PM,23-MAR-16 06.18.10.688126000 PM,"Data Mining/Machine Learning","",220,
92046253613466239499853282050038200150,04-JAN-17 05.57.55.740874000 AM,04-JAN-17 05.57.55.740889000 AM,"SQL Analytics","",10,
337949986681008890389062074985729416032,26-AUG-15 11.50.36.387361000 PM,12-OCT-15 05.48.33.094245000 PM,"Data Models","",20,
1,26-AUG-15 11.50.36.390042000 PM,26-AUG-15 11.50.36.390047000 PM,"SQL General","",10,
893254896586036118486907198353590179,26-AUG-15 11.50.36.391497000 PM,26-AUG-15 11.50.36.391502000 PM,"Oracle Text","",11,
3,26-AUG-15 11.50.36.394441000 PM,12-OCT-15 05.44.44.477355000 PM,"SQL Query","",30,1
4,26-AUG-15 11.50.36.395991000 PM,26-AUG-15 11.50.36.395996000 PM,"PL/SQL General","",40,
5,26-AUG-15 11.50.36.397462000 PM,12-OCT-15 05.49.49.620711000 PM,"PL/SQL Triggers","",50,4
6,26-AUG-15 11.50.36.399006000 PM,12-OCT-15 05.49.34.901120000 PM,"PL/SQL Procedures, Functions, Packages","",60,4
7,26-AUG-15 11.50.36.400584000 PM,12-OCT-15 05.45.39.297379000 PM,"Analytics","",1,1
8,26-AUG-15 11.50.36.402090000 PM,26-AUG-15 11.50.36.402095000 PM,"Partitioning","",80,
9,26-AUG-15 11.50.36.403544000 PM,26-AUG-15 11.50.36.403549000 PM,"Compression","",90,
11,26-AUG-15 11.50.36.406586000 PM,26-AUG-15 11.50.36.406592000 PM,"SQL Types","",110,
12,26-AUG-15 11.50.36.408195000 PM,12-OCT-15 05.48.08.719419000 PM,"XML","",120,1
13,26-AUG-15 11.50.36.409748000 PM,12-OCT-15 05.48.18.865930000 PM,"JSON","",130,1
14,26-AUG-15 11.50.36.411239000 PM,26-AUG-15 11.50.36.411244000 PM,"Oracle 12c","",140,
15,26-AUG-15 11.50.36.412733000 PM,26-AUG-15 11.50.36.412738000 PM,"Performance and Tuning","",150,
331612950318691907290794821632381319278,26-AUG-15 11.50.36.414213000 PM,26-AUG-15 11.50.36.414218000 PM,"Geospatial","",160,
333804701807972275005933417866206051852,26-AUG-15 11.50.36.415779000 PM,26-AUG-15 11.50.36.415784000 PM,"NLS","",200,
62122359562009447255714070369388904843,23-MAR-16 06.17.41.135417000 PM,23-MAR-16 06.17.41.135427000 PM,"Statistical Functions","",100,1
45094643699731311561437923492705761850,12-OCT-15 05.46.43.584830000 PM,12-OCT-15 05.46.43.584840000 PM,"DDL","",10,1
45094643699732520487257538121880468026,12-OCT-15 05.47.15.183126000 PM,12-OCT-15 05.47.15.183134000 PM,"Functions","",20,1
169493447418960980849622171218277482803,15-JAN-19 05.11.22.245903000 PM,15-JAN-19 05.11.22.245908000 PM,"Oracle 19c","",1,
