"ID","TUTORIAL_ID","NAME","DISPLAY_SEQ","CONTENT","CREATED","CREATED_BY","UPDATED","UPDATED_BY"
182256270815113871510434945310548021,182256270813904945690820316135841845,"Introduction to Anonymous Blocks",10,"<p>
PL/SQL, the Oracle procedural extension of SQL, is a portable, high-performance transaction-processing language that is tightly integrated with SQL.  The basic unit of a PL/SQL source program is the block, which groups related declarations and statements.
</p>
<p>
A PL/SQL block is defined by the keywords DECLARE, BEGIN, EXCEPTION, and END. These keywords divide the block into a declarative part, an executable part, and an exception-handling part. Only the executable part is required.
<code>
begin
   dbms_output.put_line('hello world');
end;
/
</code>
<p>
Because an anonymous block can have its own declaration and exception sections, developers can use anonymous blocks to provide scope for identifiers and exception handling within a larger program.
</p>
<code>
declare
    l_today date := sysdate;
begin
    dbms_output.put_line(
           'today is '||to_char(l_today,'Day'));
exception when others then
    dbms_output.put_line(sqlerrm);
end;
/
</code>",16-SEP-14 09.33.36.635541000 PM,"LIVESQL",16-SEP-14 09.33.36.635598000 PM,"LIVESQL"
166413577001589559637988793287051708,66403703756642340425947956952870068,"Querying Data",40,"<p>To select data from a single table it is reasonably easy, simply use the SELECT ... FROM ... WHERE ... ORDER BY ... syntax.</p>
<code>
select * from employees;
</code>
<p>To query data from two related tables you can join the data</p>
<code>
select e.name employee,
           d.name department,
           e.job,
           d.location
from departments d, employees e
where d.deptno = e.deptno(+)
order by e.name;
</code>
<p>As an alternative to a join you can use an inline select to query data.</p>
<code>
select e.name employee,
          (select name 
           from departments d 
           where d.deptno = e.deptno) department,
           e.job
from employees e
order by e.name;
</code>
",16-SEP-14 09.33.36.635860000 PM,"LIVESQL",18-DEC-14 10.28.20.501220000 PM,"MICHAEL.HICHWA@ORACLE.COM"
790055919507112484820594005908262491,182256270813904945690820316135841845,"Conditional Logic",20,"<p>Lets add some conditional logic using if ... then ... else syntax.  The TO_CHAR function can be used to format dates and number data types.  The <strong>D</strong> format mask is the day of the week, a number between 1 and 7.</p>
<code>
declare
    l_today date := sysdate;
begin
    if to_char(l_today,'D') < 4 then
        dbms_output.put_line(
           'Have a wonderful week');
    else
         dbms_output.put_line(
            'Enjoy the rest of the week');
     end if;
    dbms_output.put_line('today is '||
         to_char(l_today,'Day')||
         ' day '||to_char(l_today,'D')||
         ' of the week.');
end;
/
</code>",16-SEP-14 09.33.36.636268000 PM,"LIVESQL",16-SEP-14 09.33.36.636320000 PM,"LIVESQL"
1230817056766999134007418837776647148,182256270813904945690820316135841845,"Static SQL",30,"<p>With PL/SQL it is easy to integrate SQL statements, the example below shows a an example of using SELECT INTO with an Oracle data dictionary table.</p>

<code>
DECLARE
  howmany     INTEGER;
  num_tables  INTEGER;
BEGIN
  -- Begin processing
  SELECT COUNT(*) INTO howmany
  FROM USER_OBJECTS
  WHERE OBJECT_TYPE = 'TABLE'; -- Check number of tables
  num_tables := howmany;       -- Compute another value
  dbms_output.put_line (to_char(num_tables,'999G999G990')||' tables');
END;
</code>
<p>Here is an example of using a cursor for loop</p>
<code>
DECLARE
  l_table_count integer := 0;
BEGIN
  for c1 in (
  SELECT table_name
  FROM USER_TABLES
  order by 1) loop
      l_table_count := l_table_count + 1;
      dbms_output.put_line(c1.table_name);
  end loop;
  if l_table_count = 0 then
     dbms_output.put_line('You have no tables in your schema');
  end if;
END;
</code>",16-SEP-14 09.33.36.637819000 PM,"LIVESQL",16-SEP-14 09.33.36.637871000 PM,"LIVESQL"
1230817056877011383592350092674909164,182256270813904945690820316135841845,"Dynamic SQL",40,"<p>Lets extend our static SQL example to include some dynamic content.  To facilitate dynamic SQL passing a value back to the PL/SQL block we will create a package named ""PKG"".</p>
<code>
CREATE OR REPLACE PACKAGE pkg AUTHID DEFINER AS
  table_row_count integer;
END;
/

DECLARE
  l_table_count integer := 0;
  l_sql         varchar2(32767);
BEGIN
  for c1 in (
  SELECT table_name
  FROM USER_TABLES
  order by 1) loop
      l_table_count := l_table_count + 1;
      l_sql := 'begin select count(*) into pkg.table_row_count from ""'||c1.table_name||'""; end;';
      execute immediate l_sql;
      dbms_output.put_line(c1.table_name||' - '||to_char(pkg.table_row_count,'999G999G990')||' rows');
  end loop;
  if l_table_count = 0 then
     dbms_output.put_line('You have no tables in your schema');
  end if;
END;
/
</code>",16-SEP-14 09.33.36.638040000 PM,"LIVESQL",16-SEP-14 09.33.36.638092000 PM,"LIVESQL"
1311432585570323190912306356255595342,66403703756642340425947956952870068,"Compressing Data",85,"<p>As your database grows in size to gigabytes or terabytes and beyond, consider using table compression. Table compression saves disk space and reduces memory use in the buffer cache. Table compression can also speed up query execution during reads. There is, however, a cost in CPU overhead for data loading and DML. Table compression is completely transparent to applications. It is especially useful in online analytical processing (OLAP) systems, where there are lengthy read-only operations, but can also be used in online transaction processing (OLTP) systems.
</p>
<p>
You specify table compression with the COMPRESS clause of the CREATE TABLE statement. You can enable compression for an existing table by using this clause in an ALTER TABLE statement. In this case, the only data that is compressed is the data inserted or updated after compression is enabled. Similarly, you can disable table compression for an existing compressed table with the ALTER TABLE...NOCOMPRESS statement. In this case, all data the was already compressed remains compressed, and new data is inserted uncompressed.
</p>
<p>To enable compression for future data use the following syntax.</p>
<code>
alter table EMPLOYEES compress for oltp; 
alter table DEPARTMENTS compress for oltp; 
</code>
",16-SEP-14 09.33.36.638399000 PM,"LIVESQL",16-SEP-14 09.33.36.638450000 PM,"LIVESQL"
86364095479139315200687718653368146,66403703756642340425947956952870068,"Creating Tables",10,"<p>Tables are the basic unit of data storage in an Oracle Database. Data is stored in rows and columns. You define a table with a table name, such as employees, and a set of columns. You give each column a column name, such as employee_id, last_name, and job_id; a datatype, such as VARCHAR2, DATE, or NUMBER; and a width. The width can be predetermined by the datatype, as in DATE. If columns are of the NUMBER datatype, define precision and scale instead of width. A row is a collection of column information corresponding to a single record.
</p>

<p>
You can specify rules for each column of a table. These rules are called integrity constraints. One example is a NOT NULL integrity constraint. This constraint forces the column to contain a value in every row.
</p>

<p>For example:</p>
<code>
create table DEPARTMENTS (  
  deptno        number,  
  name          varchar2(50) not null,  
  location      varchar2(50),  
  constraint pk_departments primary key (deptno)  
);
</code>

<p>Tables can declarative specify relationships between tables, typically referred to as referential integrity.  To see how this works we can create a ""child"" table of the DEPARTMENTS table by including a foreign key in the EMPLOYEES table that references the DEPARTMENTS table.  For example:</p>

<code>
create table EMPLOYEES (  
  empno             number,  
  name              varchar2(50) not null,  
  job               varchar2(50),  
  manager           number,  
  hiredate          date,  
  salary            number(7,2),  
  commission        number(7,2),  
  deptno           number,  
  constraint pk_employees primary key (empno),  
  constraint fk_employees_deptno foreign key (deptno) 
      references DEPARTMENTS (deptno)  
);
</code>
<p>Foreign keys must reference primary keys, so to create a ""child"" table the ""parent"" table must have a primary key for the foreign key to reference.</p>",16-SEP-14 09.33.36.591832000 PM,"LIVESQL",16-SEP-14 09.33.36.591899000 PM,"LIVESQL"
166413576938725417018028076202330556,66403703756642340425947956952870068,"Creating Triggers",20,"<p>Triggers are procedures that are stored in the database and are implicitly run, or fired, when something happens.  Traditionally, triggers supported the execution of a procedural code, in Oracle procedural SQL is called a PL/SQL block.  PL stands for procedural language.  When an INSERT, UPDATE, or DELETE occurred on a table or view. Triggers support system and other data events on DATABASE and SCHEMA. </p>

<p>Triggers are frequently used to automatically populate table primary keys, the trigger examples below show an example trigger to do just this. We will use a built in function to obtain a globallally unique identifier or GUID.</p>
<code>
create or replace trigger  DEPARTMENTS_BIU
    before insert or update on DEPARTMENTS
    for each row
begin
    if inserting and :new.deptno is null then
        :new.deptno := to_number(sys_guid(), 
          'XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX');
    end if;
end;
/

create or replace trigger EMPLOYEES_BIU
    before insert or update on EMPLOYEES
    for each row
begin
    if inserting and :new.empno is null then
        :new.empno := to_number(sys_guid(), 
            'XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX');
    end if;
end;
/
</code>",16-SEP-14 09.33.36.592681000 PM,"LIVESQL",16-SEP-14 09.33.36.592734000 PM,"LIVESQL"
166413576942352194476871963726449084,92094449129961689585393288404949059,"About Sequences",10,"<p>Use the CREATE SEQUENCE statement to create a sequence, which is a database object from which multiple users may generate unique integers. You can use sequences to automatically generate primary key values.

When a sequence number is generated, the sequence is incremented, independent of the transaction committing or rolling back. If two users concurrently increment the same sequence, then the sequence numbers each user acquires may have gaps, because sequence numbers are being generated by the other user. One user can never acquire the sequence number generated by another user. After a sequence value is generated by one user, that user can continue to access that value regardless of whether the sequence is incremented by another user.</p>

<p>Sequence numbers are generated independently of tables, so the same sequence can be used for one or for multiple tables. It is possible that individual sequence numbers will appear to be skipped, because they were generated and used in a transaction that ultimately rolled back. Additionally, a single user may not realize that other users are drawing from the same sequence.</p>

",16-SEP-14 09.33.36.592905000 PM,"LIVESQL",16-SEP-14 09.33.36.592958000 PM,"LIVESQL"
166413576948396823574945109599979964,66403703756642340425947956952870068,"Inserting Data",30,"<p>Now that we have tables created, and we have triggers to automatically populate our primary keys, we can add data to our tables.  Because we have a parent child relationship, with the DEPARTMENTS table as the parent table, and the EMPLOYEES table as the child we will first INSERT a row into the DEPARTMENTS table.</p>

<code>
insert into departments (name, location) values
   ('Finance','New York');

insert into departments (name, location) values
   ('Development','San Jose');
</code>

<p>Lets verify that the insert was successful by running a SQL SELECT statement to query all columns and all rows of our table.</p>

<code>
select * from departments;
</code>

<p>You can see that an ID will have been automatically generated.  You can now insert into the EMPLOYEES table a new row but you will need to put the generated DEPTID value into your SQL INSERT statement.  The examples below show how we can do this using a SQL query, but you could simply enter the department number directly.</p>

<code>
insert into EMPLOYEES 
   (name, job, salary, deptno) 
   values
   ('Sam Smith','Programmer', 
    5000, 
  (select deptno 
  from departments 
  where name = 'Development'));

insert into EMPLOYEES 
   (name, job, salary, deptno) 
   values
   ('Mara Martin','Analyst', 
   6000, 
   (select deptno 
   from departments 
   where name = 'Finance'));

insert into EMPLOYEES 
   (name, job, salary, deptno) 
   values
   ('Yun Yates','Analyst', 
   5500, 
   (select deptno 
   from departments 
   where name = 'Development'));
</code>",16-SEP-14 09.33.36.593135000 PM,"LIVESQL",16-SEP-14 09.33.36.593187000 PM,"LIVESQL"
