"ID","AREA_ID","TUTORIAL_NAME","PUBLISHED","TUTORIAL_OVERVIEW","SETUP_SQL","SETUP_DESCRIPTION","TAGS","CREATED","CREATED_BY","UPDATED","UPDATED_BY","FEATURED"
234738183173691734382399251082742733633,1,"SQL Macros - Creating parameterised views","Y","This tutorial explains how to create a parameterized view using SQL Macros. The examples use the built-in sales history schema so there are no setup steps.","","","19c, macros, sql",01-OCT-20 08.41.43.186792000 AM,"KEITH.LAKER@ORACLE.COM",01-OCT-20 03.21.35.096351000 PM,"SHARON.KENNEDY@ORACLE.COM","Y"
149075222712493902096666428584818910723,1,"Read Phenomena & Isolation Levels: Databases for Developers","Y","An introduction to the read consistency model in Oracle Database","create table toys (
  toy_name varchar2(30),
  price    number(10, 2)
);

insert into toys values ( 'Miss Snuggles', 9.99 );

commit;","","read committed, serializable, set transaction, read only",04-JUL-18 08.45.07.022789000 AM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.22.09.848203000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
151382938526402044313447081869310725033,1,"Joining Tables: Databases for Developers","Y","An introduction to the join types available in Oracle Database.","create table toys (
  toy_id     integer,
  toy_name   varchar2(20),
  toy_colour varchar2(10)
);

create table bricks (
  brick_id     integer,
  brick_colour varchar2(10),
  brick_shape  varchar2(10)
);

insert into toys values ( 1, 'Miss Snuggles', 'pink' ) ;
insert into toys values ( 2, 'Cuteasaurus', 'blue' ) ;
insert into toys values ( 3, 'Baby Turtle', 'green' ) ;

insert into bricks values ( 2, 'blue', 'cube' );
insert into bricks values ( 3, 'green', 'cube' );
insert into bricks values ( 4, 'blue', 'pyramid' );

commit;","","join, inner join, outer join, cross join",26-JUL-18 08.33.11.514273000 AM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.21.11.679302000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
151905700197614044459391659202713528382,45094643699732520487257538121880468026,"Aggregating Rows: Databases for Developers","Y","An introduction to how to summarise data using aggregate functions and group by.","create table bricks (
  colour varchar2(10),
  shape  varchar2(10),
  weight integer
);

insert into bricks values ( 'red', 'cube', 1 );
insert into bricks values ( 'red', 'pyramid', 2 );
insert into bricks values ( 'red', 'cuboid', 1 );

insert into bricks values ( 'blue', 'cube', 1 );
insert into bricks values ( 'blue', 'pyramid', 2 );

insert into bricks values ( 'green', 'cube', 3 );

commit;","","group by, rollup, cube, count, sum",31-JUL-18 08.47.55.332749000 AM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.20.44.817919000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
152139165451368994310308665430312259683,1,"Adding and Saving Rows: Databases for Developers","Y","An introduction to adding rows to tables with insert. And saving or undoing these changes with commit and rollback.","create table toys (
  toy_id   integer,
  toy_name varchar2(100),
  colour   varchar2(10)
);

create table bricks (
  brick_id integer,
  colour   varchar2(10),
  shape    varchar2(10)
);","","insert, insert all, commit, rollback, savepoint",02-AUG-18 01.47.19.856498000 PM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.20.26.789714000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
152639219300562793212764580165351953605,1,"Update & Transactions: Databases for Developers","Y","An introduction to how to change row values with update. Also an overview of how to manage transactions.","create table bricks (
  colour      varchar2(10),
  shape       varchar2(10),
  quantity    integer,
  unit_weight integer
);

insert into bricks values ( 'red', 'cylinder', 1, 13 );
insert into bricks values ( 'blue', 'cube', 51, 8 );
insert into bricks values ( 'green', 'cube', 600, 8 );

commit;","","update, deadlock, select for update",07-AUG-18 08.44.51.750178000 AM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.19.04.542401000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
152769908351014758555746151630340122318,92046253613466239499853282050038200150,"Using FILTER FACT to Extend Analytic View Aggregation in SELECT","Y","When SELECTing data from an analytic view the FILTER FACT keywords can be used to filter data prior to aggregation in the analytic view.  This allows the analytic view to provide the same 'filter, then aggregate, capabilities as a typical SELECT statement accessing data from tables.

This tutorial explains the behavior of FILTER FACT using a variety of examples.","-- Time attibute dimension.

CREATE OR REPLACE ATTRIBUTE DIMENSION time_attr_dim
USING av.time_dim
ATTRIBUTES
 (year_id,
  year_name,
  --year_end_date
  quarter_id,
  quarter_name,
  -- quarter_end_date,
  month_id,
  month_name,
  month_long_name,
  month_end_date)
LEVEL MONTH
  KEY month_id
  MEMBER NAME month_name
  MEMBER CAPTION month_name
  MEMBER DESCRIPTION month_long_name
  ORDER BY month_end_date
  DETERMINES (quarter_id, month_end_date)
LEVEL QUARTER
  KEY quarter_id
  MEMBER NAME quarter_name
  MEMBER CAPTION quarter_name
  MEMBER DESCRIPTION quarter_name
  ORDER BY MAX month_end_date
  DETERMINES (year_id)
LEVEL YEAR
  KEY year_id
  MEMBER NAME year_name
  MEMBER CAPTION year_name
  MEMBER DESCRIPTION year_name
  ORDER BY MAX month_end_date;

  
-- Time hierarchy.

CREATE OR REPLACE HIERARCHY time_hier
USING time_attr_dim
 (month  CHILD OF
 quarter CHILD OF
 year);
 
-- Product attribute dimension. 
 
CREATE OR REPLACE ATTRIBUTE DIMENSION product_attr_dim
USING av.product_dim 
ATTRIBUTES
 (department_id,
  department_name,
  category_id,
  category_name)
LEVEL DEPARTMENT
  KEY department_id
  MEMBER NAME department_name
  MEMBER CAPTION department_name
  ORDER BY department_name
LEVEL CATEGORY
  KEY category_id
  MEMBER NAME category_name
  MEMBER CAPTION category_name
  ORDER BY category_name
  DETERMINES(department_id)
ALL MEMBER NAME 'ALL PRODUCTS';

-- Product hierarchy.

CREATE OR REPLACE HIERARCHY product_hier
USING product_attr_dim
 (CATEGORY
  CHILD OF department);

-- Geography attribute dimension.

CREATE OR REPLACE ATTRIBUTE DIMENSION geography_attr_dim
USING av.geography_dim
ATTRIBUTES
 (region_id,
  region_name,
  country_id,
  country_name,
  state_province_id,
  state_province_name)
LEVEL REGION
  KEY region_id
  MEMBER NAME region_name
  MEMBER CAPTION region_name
  ORDER BY region_name
LEVEL COUNTRY
  KEY country_id
  MEMBER NAME country_name
  MEMBER CAPTION country_name
  ORDER BY country_name
  DETERMINES(region_id)
LEVEL STATE_PROVINCE
  KEY state_province_id
  MEMBER NAME state_province_name
  MEMBER CAPTION state_province_name
  ORDER BY state_province_name
  DETERMINES(country_id)
ALL MEMBER NAME 'ALL CUSTOMERS';

-- Geography hierarchy.

CREATE OR REPLACE HIERARCHY geography_hier
USING geography_attr_dim
 (state_province
  CHILD OF country
  CHILD OF region);
  
--  Analytic view.

CREATE OR REPLACE ANALYTIC VIEW sales_av
USING av.sales_fact
DIMENSION BY
  (time_attr_dim
    KEY month_id REFERENCES month_id
    HIERARCHIES (
      time_hier DEFAULT),
   product_attr_dim
    KEY category_id REFERENCES category_id
    HIERARCHIES (
      product_hier DEFAULT),
   geography_attr_dim
    KEY state_province_id 
    REFERENCES state_province_id
    HIERARCHIES (
      geography_hier DEFAULT)
   )
MEASURES
 (sales FACT sales,
  units FACT units
  )
DEFAULT MEASURE SALES;","","analytic view, filter fact, aggregation",08-AUG-18 02.35.14.498064000 PM,"WILLIAM.ENDRESS@ORACLE.COM",06-JUL-20 02.21.57.451336000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
152848903946926018441986284250590889613,1,"Table Design: Databases for Developers","Y","An introduction to designing database tables.","","","",09-AUG-18 08.48.59.617378000 AM,"CHRIS.SAXON@ORACLE.COM",14-SEP-18 03.07.03.386387000 PM,"CHRIS.SAXON@ORACLE.COM",""
160204041387679825048250629187623908505,12,"Oracle XML DB : Storing and Processing XML Documents ","Y","Oracle XML DB is a set of Oracle Database technologies related to high-performance handling of XML data: storing, generating, accessing, searching, validating, transforming, evolving, and indexing. It provides native XML support by encompassing both the SQL and XML data models in an interoperable way. It supports all major XML, SQL, Java, and Internet standards. It brings database features such as transaction control, data integrity, replication, reliability, availability, security, and scalability to the world of XML. 

In this tutorial, we will go through some basic stuffs of XML DB.


Explain plan statement is not working temporarily in livesql. If you want to check the plan please click the link: https://livesql.oracle.com/apex/livesql/file/content_GYQXQAW9B580L40ZT4OUYIRG.html and follow the steps.","","","",18-OCT-18 06.49.57.714427000 PM,"HARICHANDAN.ROY@ORACLE.COM",22-OCT-18 05.24.11.205238000 AM,"HARICHANDAN.ROY@ORACLE.COM",""
153496376830076594111863106943541076337,92046253613466239499853282050038200150,"Aggregating Data using Weighted Averages in Analytic Views","Y","Weighted averages are often needed to correctly aggregate average in aggregate levels of a hierarchy.  For example, demographic statistics are typically aggregated with averages weighted by population.  This tutorial explains how to easily create a calculated measure that aggregates using a weighted average.","CREATE TABLE sales_fact AS
SELECT
  month_id,
  category_id,
  state_province_id,
  units,
  sales
FROM av.sales_fact;

ALTER TABLE sales_fact ADD percent_margin number;
 
UPDATE sales_fact SET percent_margin = .21 WHERE category_id = -530;
UPDATE sales_fact SET percent_margin = .29 WHERE category_id = -534;
UPDATE sales_fact SET percent_margin = .31 WHERE category_id = -533;
UPDATE sales_fact SET percent_margin = .18 WHERE category_id = -535;
UPDATE sales_fact SET percent_margin = .07 WHERE category_id = -529;
UPDATE sales_fact SET percent_margin = .36 WHERE category_id = -532;
UPDATE sales_fact SET percent_margin = .15 WHERE category_id = -531;
UPDATE sales_fact SET percent_margin = .12 WHERE category_id = -536;

CREATE OR REPLACE ATTRIBUTE DIMENSION time_attr_dim
USING av.time_dim
ATTRIBUTES
 (year_id
   CLASSIFICATION caption VALUE 'YEAR_ID'
   CLASSIFICATION description VALUE 'YEAR ID',
  year_name
    CLASSIFICATION caption VALUE 'YEAR_NAME'
    CLASSIFICATION description VALUE 'Year',
  year_end_date
    CLASSIFICATION caption VALUE 'YEAR_END_DATE'
    CLASSIFICATION description VALUE 'Year End Date',
  quarter_id
    CLASSIFICATION caption VALUE 'QUARTER_ID'
    CLASSIFICATION description VALUE 'QUARTER ID',
  quarter_name
    CLASSIFICATION caption VALUE 'QUARTER_NAME'
    CLASSIFICATION description VALUE 'Quarter',
  quarter_end_date
    CLASSIFICATION caption VALUE 'QUARTER_END_DATE'
    CLASSIFICATION description VALUE 'Quarter End Date',
  month_id
    CLASSIFICATION caption VALUE 'MONTH_ID'
    CLASSIFICATION description VALUE 'MONTH ID',
  month_name
    CLASSIFICATION caption VALUE 'MONTH_NAME'
    CLASSIFICATION description VALUE 'Month',
  month_long_name
    CLASSIFICATION caption VALUE 'MONTH_LONG_NAME'
    CLASSIFICATION description VALUE 'Month Long Name',
  month_end_date
    CLASSIFICATION caption VALUE 'MONTH_END_DATE'
    CLASSIFICATION description VALUE 'Month End Date')
LEVEL month
  CLASSIFICATION caption VALUE 'MONTH'
  CLASSIFICATION description VALUE 'Month'
  KEY month_id
  MEMBER NAME month_name
  MEMBER CAPTION month_name
  MEMBER DESCRIPTION month_long_name
  ORDER BY month_end_date
  DETERMINES (month_end_date,
    quarter_id)
LEVEL quarter
  CLASSIFICATION caption VALUE 'QUARTER'
  CLASSIFICATION description VALUE 'Quarter'
  KEY quarter_id
  MEMBER NAME quarter_name
  MEMBER CAPTION quarter_name
  MEMBER DESCRIPTION quarter_name
  ORDER BY quarter_end_date
  DETERMINES (quarter_end_date,
    year_id)
LEVEL year
  CLASSIFICATION caption VALUE 'YEAR'
  CLASSIFICATION description VALUE 'Year'
  KEY year_id
  MEMBER NAME year_name
  MEMBER CAPTION year_name
  MEMBER DESCRIPTION year_name
  ORDER BY year_end_date
  DETERMINES (year_end_date)
ALL MEMBER NAME 'ALL TIMES';

CREATE OR REPLACE HIERARCHY time_hier
  CLASSIFICATION caption VALUE 'CALENDAR'
  CLASSIFICATION description VALUE 'CALENDAR'
USING time_attr_dim
 (month CHILD OF
 quarter CHILD OF
 year);

CREATE OR REPLACE ATTRIBUTE DIMENSION product_attr_dim
USING av.product_dim 
ATTRIBUTES
 (department_id
    CLASSIFICATION caption VALUE 'DEPARTMENT_ID'
    CLASSIFICATION description VALUE 'DEPARTMENT ID',
  department_name
    CLASSIFICATION caption VALUE 'DEPARTMENT_NAME'
    CLASSIFICATION description VALUE 'Department',
  category_id
    CLASSIFICATION caption VALUE 'CATEGORY_ID'
    CLASSIFICATION description VALUE 'CATEGORY ID',
  category_name
    CLASSIFICATION caption VALUE 'CATEGORY_NAME'
    CLASSIFICATION description VALUE 'Category')
LEVEL DEPARTMENT
  CLASSIFICATION caption VALUE 'DEPARTMENT'
  CLASSIFICATION description VALUE 'Department'
  KEY department_id
  MEMBER NAME department_name
  MEMBER CAPTION department_name
  ORDER BY department_name
LEVEL CATEGORY
  CLASSIFICATION caption VALUE 'CATEGORY'
  CLASSIFICATION description VALUE 'Category'
  KEY category_id
  MEMBER NAME category_name
  MEMBER CAPTION category_name
  ORDER BY category_name
  DETERMINES(department_id)
ALL MEMBER NAME 'ALL PRODUCTS';

CREATE OR REPLACE HIERARCHY product_hier
  CLASSIFICATION caption VALUE 'PRODUCT'
  CLASSIFICATION description VALUE 'Product'
USING product_attr_dim
 (CATEGORY
  CHILD OF department);

CREATE OR REPLACE ATTRIBUTE DIMENSION geography_attr_dim
USING av.geography_dim
ATTRIBUTES
 (region_id
    CLASSIFICATION caption VALUE 'REGION_ID'
    CLASSIFICATION description VALUE 'REGION ID',
  region_name
    CLASSIFICATION caption VALUE 'REGION_NAME'
    CLASSIFICATION description VALUE 'Region',
  country_id
    CLASSIFICATION caption VALUE 'COUNTRY_ID'
    CLASSIFICATION description VALUE 'COUNTRY ID',
  country_name
    CLASSIFICATION caption VALUE 'COUNTRY_NAME'
    CLASSIFICATION description VALUE 'Country',
  state_province_id
    CLASSIFICATION caption VALUE 'STATE_PROVINCE_ID'
    CLASSIFICATION description VALUE 'STATE-PROVINCE ID',
  state_province_name
    CLASSIFICATION caption VALUE 'STATE_PROVINCE_NAME'
    CLASSIFICATION description VALUE 'State-Province')
LEVEL REGION
  CLASSIFICATION caption VALUE 'REGION'
  CLASSIFICATION description VALUE 'Region'
  KEY region_id
  MEMBER NAME region_name
  MEMBER CAPTION region_name
  ORDER BY region_name
LEVEL COUNTRY
  CLASSIFICATION caption VALUE 'COUNTRY'
  CLASSIFICATION description VALUE 'Country'
  KEY country_id
  MEMBER NAME country_name
  MEMBER CAPTION country_name
  ORDER BY country_name
  DETERMINES(region_id)
LEVEL STATE_PROVINCE
  CLASSIFICATION caption VALUE 'STATE_PROVINCE'
  CLASSIFICATION description VALUE 'State-Province'
  KEY state_province_id
  MEMBER NAME state_province_name
  MEMBER CAPTION state_province_name
  ORDER BY state_province_name
  DETERMINES(country_id)
ALL MEMBER NAME 'ALL CUSTOMERS';

CREATE OR REPLACE HIERARCHY geography_hier
  CLASSIFICATION caption VALUE 'GEOGRAPHY'
  CLASSIFICATION description VALUE 'Geography'
USING geography_attr_dim
 (state_province
  CHILD OF country
  CHILD OF region);","","analytic view, aggregation, weighted average",15-AUG-18 01.47.33.452528000 PM,"WILLIAM.ENDRESS@ORACLE.COM",06-JUL-20 02.21.01.182782000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
