
    ID    DISCIPLINE_ID EVENT                                            
______ ________________ ________________________________________________ 
   468               51 beach volleyball                                 
   469               52 volleyball                                       
   470               53 8m class C                                       
   471               53 class B up to 60 feet                            
   472               53 open class A                                     
   473               54 + 105kg                                          
   474               54 + 108kg, total (super heavyweight)               
   475               54 + 110kg, total (super heavyweight)               
   476               54 + 75kg                                           
   477               54 + 82.5kg, one-two hand 3 events (heavyweight)    

    ID    DISCIPLINE_ID EVENT                                            
______ ________________ ________________________________________________ 
   478               54 + 82.5kg, one-two hand 5 events (heavyweight)    
   479               54 + 82.5kg, total (heavyweight)                    
   480               54 + 90kg, total (heavyweight)                      
   481               54 - 52kg, total (flyweight)                        
   482               54 - 54kg, total (flyweight)                        
   483               54 - 56kg, total (bantamweight)                     
   484               54 - 60kg, one-two hand 3 events (featherweight)    
   485               54 - 60kg, one-two hand 5 events (featherweight)    
   486               54 - 60kg, total (featherweight)                    
   487               54 100 - 110kg, total (heavyweight)                 

    ID    DISCIPLINE_ID EVENT                                               
______ ________________ ___________________________________________________ 
   488               54 105kg                                               
   489               54 48kg                                                
   490               54 52 - 56kg, total (bantamweight)                     
   491               54 53kg                                                
   492               54 54 - 59kg, total (bantamweight)                     
   493               54 56 - 60kg, total (featherweight)                    
   494               54 56kg                                                
   495               54 58kg                                                
   496               54 59 - 64kg, total (featherweight)                    
   497               54 60 - 67.5kg, one-two hand 3 events (lightweight)    

    ID    DISCIPLINE_ID EVENT                                                
______ ________________ ____________________________________________________ 
   498               54 60 - 67.5kg, one-two hand 5 events (lightweight)     
   499               54 60 - 67.5kg, total (lightweight)                     
   500               54 62kg                                                 
   501               54 63kg                                                 
   502               54 64 - 70kg, total (lightweight)                       
   503               54 67.5 - 75kg, one-two hand 3 events (middleweight)    
   504               54 67.5 - 75kg, one-two hand 5 events (middleweight)    
   505               54 67.5 - 75kg, total (middleweight)                    
   506               54 69kg                                                 
   507               54 70 - 76kg, total (middleweight)                      

    ID    DISCIPLINE_ID EVENT                                                 
______ ________________ _____________________________________________________ 
   508               54 75 - 82.5kg, one-two hand 3 e. (light-heavyweight)    
   509               54 75 - 82.5kg, one-two hand 5 e. (light-heavyweight)    
   510               54 75 - 82.5kg, total (light-heavyweight)                
   511               54 75kg                                                  
   512               54 76 - 83kg, total (light-heavyweight)                  
   513               54 77kg                                                  
   514               54 82.5 - 90kg, total (middle-heavyweight)               
   515               54 83 - 91kg, total (middle-heavyweight)                 
   516               54 85kg                                                  
   517               54 90 - 100kg, total (first-heavyweight)                 

    ID    DISCIPLINE_ID EVENT                                   
______ ________________ _______________________________________ 
   518               54 91 - 110kg, total (heavyweight)         
   519               54 91 - 99kg, total (first-heavyweight)    
   520               54 94kg                                    
   521               54 99 - 108kg, total (heavyweight)         
   522               54 all-around Dumbbell contest             
   523               54 heavyweight - one hand lift             
